,Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap
136,WRIV,WHITE RIVER BANCSHARES CO,OTCQX U.S.,79.35,0.0,200,Common Stock,USA,Arkansas,
137,UCASU,UC ASSET LTD PRTNSHP UTS,OTCQX U.S.,0.847575,,0,Units,USA,Georgia,
138,FNBT,FINEMARK HOLDINGS INC,OTCQX U.S.,31.35,,0,Common Stock,USA,Florida,
139,ZCSH,GRAYSCALE ZCASH TR ZEC,OTCQX U.S.,4.03,1.7677,8860,Common Stock,USA,Connecticut,
140,OSBK,OCONEE FINL CORP,OTCQX U.S.,41.11,,0,Common Stock,USA,Georgia,
141,ETHE,GRAYSCALE ETHRM TR ETH,OTCQX U.S.,9.3799,2.2879,2944265,Common Stock,USA,Connecticut,
142,ALPIB,ALPINE BKS COLO CL B,OTCQX U.S.,30.0,0.3344,1314,Common Stock,USA,Colorado,
143,PPHI,POSITIVE PHYSICIANS HLDGS,OTCQX U.S.,6.4,-26.8571,2500,Common Stock,USA,Pennsylvania,
144,DSBX,DOGWOOD STATE BK RLGH NC,OTCQX U.S.,18.06,,0,Common Stock,USA,North Carolina,
145,GDLC,GRAYSCALE DIGITAL LG CAP,OTCQX U.S.,7.2801,4.2994,26809,Fund,USA,Connecticut,
146,BOID,BANK IDAHO HLDG CO,OTCQX U.S.,29.25,,0,Common Stock,USA,Idaho,
147,INBC,INBANKSHARES CORPORATION,OTCQX U.S.,7.75,,28,Common Stock,USA,Colorado,
148,GNRS,GREENROSE ACQ CORP,OTCQX U.S.,1.5,0.0,26901,Common Stock,USA,New York,
149,DCSX,DIRECT COMM SOLUTIONS,OTCQX U.S.,1.11,1.8349,46155,Foreign Ordinary Shares,USA,California,
150,BCHG,GRAYSCALE BITCOIN CASH TR,OTCQX U.S.,0.76,-0.1314,57483,Common Stock,USA,Connecticut,
151,BITW,BITWISE 10 CRYPTO IDX UT,OTCQX U.S.,10.44,3.8806,57129,Units,USA,California,
152,LTCN,GRAYSCALE LITECOIN TR LTC,OTCQX U.S.,2.87,-1.0345,48934,Common Stock,USA,Connecticut,
153,BBXIA,BBX CAPITAL INC A,OTCQX U.S.,7.89,-1.3133,1242,Common Stock,USA,Florida,
154,OBTC,OSPREY BITCOIN TR UBI,OTCQX U.S.,4.93,-2.3762,4186,Units,USA,New York,
155,AAWH,ASCEND WELLNESS HOLDNGS A,OTCQX U.S.,1.72,4.2424,174381,Foreign Ordinary Shares,USA,New York,
156,MSTH,MYSTIC HOLDINGS INC,OTCQX U.S.,0.51,,0,Common Stock,USA,Nevada,
157,NLCP,NEWLAKE CAP PARTNERS INC,OTCQX U.S.,13.76,0.0,19397,Common Stock,USA,Connecticut,
158,GXLM,GRAYSCALE STELLAR LUMENS,OTCQX U.S.,10.79,-2.6173,1812,Common Stock,USA,Connecticut,
159,HZEN,GRAYSCALE HORIZEN TR ZEN,OTCQX U.S.,1.19,0.8475,2988,Common Stock,USA,Connecticut,
160,ODOT,OSPREY POLKADOT TRUST,OTCQX U.S.,0.89,,0,Other Security Type,USA,Connecticut,
161,GUER,GUERRILLA RF INC,OTCQX U.S.,1.8,-3.7433,22250,Common Stock,USA,North Carolina,
