Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State,Market Cap,SIC Code
SCND,SCIENTIFIC INDUSTRIES INC,OTCQB,5.6,-6.6667,9000,Common Stock,USA,New York,"39,220,154",3826 - Analytical instruments
SLGD,SCOTTS LIQUID GOLD INC,Pink Current,0.3405,-5.4167,16000,Common Stock,USA,Colorado,"4,341,088",2844 - Toilet preparations
SNLC,SECURITY NATL CP SIOUX CY,Pink Current,129.25,,0,Common Stock,USA,South Dakota,"217,884,609",6021 - National commercial banks
SDRC,SIDNEY RESOURCES CORP,Pink Current,0.142461,1.7579,20663,Common Stock,USA,Idaho,"43,685,067",1040 - Gold and Silver Ores
URHG,UNITED RES HLDGS GRP INC,Pink Current,0.0574,68.3284,17421,Common Stock,USA,Texas,"11,478,965","6719 - Holding companies, misc"
SODI,SOLITRON DEVICES INC,Pink Current,10.5,,3,Common Stock,USA,Florida,"21,876,078",3674 - Semiconductors and related devices
SOBS,SOLVAY BANK SOLVAY NY,Pink Current,37.6,1.6216,100,Common Stock,USA,New York,"90,790,126",6022 - State commercial banks
SOMC,STHN MICH BANCORP INC,Pink Current,22.0,,0,Common Stock,USA,Michigan,"99,999,328",6022 - State commercial banks
SCXLB,STARRETT (L S) CO B COM,Pink Current,8.0,,0,Common Stock,USA,Massachusetts,"10,647,936","3420 - Cutlery, Handtools & General Hardware"
SPCO,STEPHAN CO,Pink Current,2.1,4.4776,100,Common Stock,USA,Pennsylvania,"8,542,907",5087 - Service establishment equipment
STQN,STRATEGIC ACQUIS INC NEV,Pink Current,0.9,,0,Common Stock,USA,New York,"2,443,500",6770 - Blank Checks
STBI,STURGIS BANCORP INC,OTCQX U.S. Premier,20.6,0.0,139,Common Stock,USA,Michigan,"44,015,835",6035 - Federal savings institutions
SMAL,SUMMIT BANCSHS CALIF,Pink Current,36.35,,20,Common Stock,USA,California,"42,318,343",6021 - National commercial banks
TMMI,TMM INC,Pink Current,0.0163,-1.8072,58000,Common Stock,USA,South Carolina,"8,883,040",7371 - Custom computer programming services
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX U.S. Premier,38.3,0.0,100,Common Stock,USA,Maryland,"105,683,488",6712 - Bank holding companies
TCCO,TECHNICAL COMMUNICATIONS,OTCQB,1.0,,87,Common Stock,USA,Massachusetts,"1,854,403",3663 - Radio and TV communications equipment
FUNN,AMFIL TECHNOLOGIES INC,Pink Current,0.006,9.0909,1191522,Common Stock,Canada,Ontario,"4,553,099",5813 - Drinking places
TIKK,TEL-INSTR ELECTRONICS CRP,OTCQB,1.6,-3.0303,1692,Common Stock,USA,New Jersey,"5,415,419",3670 - Electronic Components & Accessories
TOFB,TOFUTTI BRANDS INC,OTCQX U.S.,1.235,-9.1912,19015,Common Stock,USA,New Jersey,"6,366,432",2024 - Ice cream and frozen desserts
TROLB,TOOTSIE ROLL INDUS B COM,Pink Current,35.99,,0,Common Stock,USA,Illinois,"1,000,240,378",2060 - Sugar & Confectionery Products
TRCY,TRI CITY BANKSHARES CORP,Pink Current,17.38,,95,Common Stock,USA,Wisconsin,"154,767,423",6021 - National commercial banks
UNRG,UNITED ENERGY CRP NEV,Pink Current,0.13667,-1.25,18641,Common Stock,USA,Texas,"44,534,462","1389 - Oil and gas field services, misc"
UTRX,UNITRONIX CORP,Pink Current,0.09,,0,Common Stock,USA,Washington,"7,785,000",1021 - Copper ores
UHID,UNIVERSAL HLTH SVCS D COM,Pink Current,97.02,,0,Common Stock,USA,Pennsylvania,"1,882,091",8062 - General medical and surgical hospitals
VIDE,VIDEO DISPLAY CORP,Pink Current,1.3,18.1818,400,Common Stock,USA,Florida,"12,652,207",3670 - Electronic Components & Accessories
WTBFA,W T B FINANCIAL CRP A,Pink Current,675.0,,0,Common Stock,USA,Washington,"16,875,000",6712 - Bank holding companies
WTBFB,W T B FINANCIAL CRP B,Pink Current,344.0,0.0,15,Common Stock,USA,Washington,"860,691,440",6712 - Bank holding companies
WVFC,WVS FINCL CORP,OTCQX U.S. Premier,14.0,-0.7796,1300,Common Stock,USA,Pennsylvania,"26,729,346","6036 - Savings institutions, except federal"
WELX,WINLAND HOLDINGS CORP,Pink Current,1.76,0.0,2000,Common Stock,USA,Minnesota,"8,127,791","3699 - Electrical equipment and supplies, misc"
CRAWA,CRAWFORD UNITED CORP,Pink Current,18.65,-6.7966,664,Common Stock,USA,Ohio,"51,180,057",3823 - Process control instruments
DBIN,DACOTAH BANKS INC,OTCQX U.S. Premier,34.8,0.0,200,Common Stock,USA,South Dakota,"391,475,257",6022 - State commercial banks
IRNS,IRONSTONE GROUP INC,Pink Current,4.5,,0,Common Stock,USA,California,"12,226,298",6770 - Blank Checks
VASO,VASO CORPORATION,Pink Current,0.1115,1.4559,21900,Common Stock,USA,New York,"20,676,110",3845 - Electromedical equipment
LOGN,LOGANSPORT FINCL CORP,OTCQB,40.0,,0,Common Stock,USA,Indiana,"24,389,680",6035 - Federal savings institutions
GTPS,GREAT AMER BANCORP INC,Pink Current,32.0,-3.0303,1649,Common Stock,USA,Illinois,"12,992,448",6035 - Federal savings institutions
REDW,REDWOOD FINANCIAL INC,Pink Current,100.0,,0,Common Stock,USA,Minnesota,"40,504,700",Not Available
HBIA,HILLS BANCORP OF IOWA,Pink Current,70.55,-1.3287,200,Common Stock,USA,Iowa,"653,514,527",6022 - State commercial banks
BNCC,BNCCORP INC,OTCQX U.S. Premier,26.5,3.1128,2600,Common Stock,USA,North Dakota,"94,854,074",6021 - National commercial banks
AERG,APPLIED ENERGETICS INC,OTCQB,2.3,-0.8621,73354,Common Stock,USA,Arizona,"477,923,619",3812 - Search and navigation equipment
HLAN,HEARTLAND BANC CORP,OTCQX U.S. Premier,89.1,0.0,432,Common Stock,USA,Ohio,"178,943,985",6021 - National commercial banks
